SKU_CD,PROD_NM,BRND,SZ,WT_GMS,CAT_CD,ALLRGY,EAN,DT_LNCH
IN00644,XXX-Purevex साबुन Nourishing Body Cleanser,Purevex,50ml,100,PC-BW,"shellfish,fish,gluten,wheat",4813866675482,22/07/21
IN00645,Aevum Liquid Laundry Detergent,Aevum,150ml,100,HH-LN,"wheat,fish",8774186520578,18/11/21
IN00646,Aurova Rice Cakes,Aurova,750ml,500,FB-SN,"gluten,peanuts,soy",5203758309455,21/01/19
IN00647,Primus Sport Deodorant,Primus,50ml,200,PC-DO,,4760440907975,02/07/23
IN00648,Tolvex Volumising Conditioner,Tolvex,1000ml,500,PC-CD,,0509222161075,13/09/18
IN00649,Novix 24hr Roll-On Deodorant,Novix,200ml,150,PC-DO,"milk,tree nuts,sesame,shellfish",2958066013824,28/12/20
IN00650,Orinum Volumising Shampoo,Orinum,50ml,200,PC-SH,"soy,sesame,fish,eggs",0448515791974,28/12/18
IN00651,Kaleo Hydrating Shampoo,Kaleo,75ml,100,PC-SH,"tree nuts,peanuts,soy",2035713432402,03/04/22
IN00652,Kaleo Granola Bar,Kaleo,200ml,100,FB-SN,"tree nuts,fish,soy,sesame",3432447417597,29/01/22
IN00653,Orinum Whitening Deodorant,Orinum,1000ml,100,PC-DO,,9628936543586,06/01/21
IN00654,Arovia Colour Protect Shampoo,Arovia,150ml,200,PC-SH,shellfish,4018272795599,28/03/22
IN00655,Vanta Vinegar Dressing,Vanta,250ml,75,FB-CN,"milk,wheat",6755125427822,31/03/18
IN00656,DUMMY-Cryston पाउडर Disinfectant Spray,Cryston,750ml,300,HH-SC,"shellfish,soy,peanuts",5957640381660,08/01/21
IN00657,XXX-Frosten शैम्पू Heavy Duty Dish Soap,Frosten,50ml,100,HH-DW,"wheat,peanuts,soy,sesame",2250142576279,04/01/18
IN00658,Serafix Mayonnaise,Serafix,100ml,200,FB-CN,"shellfish,wheat,gluten",3361328507259,14/02/19
IN00659,Solvix Disinfectant लोशन Spray,Solvix,300ml,150,HH-SC,"fish,shellfish,soy",1625265469684,21/10/18
IN00660,Polvera Sensitive Deodorant,Polvera,750ml,50,PC-DO,gluten,2355580996136,20/07/19
IN00661,Vanta Kitchen Cleaner,Vanta,150ml,200,HH-SC,"eggs,tree nuts,fish",2624467046227,20/06/22
00662,Solven फोम Vinegar Dressing,Solven,400ml,75,FB-CN,"eggs,fish",0252986707668,12/08/18
IN00663,Verdant फोम Intensive Moisturiser,Verdant,1000ml,75,PC-MS,"tree nuts,milk,shellfish",7585126861207,12/10/21
IN00664,Verdant जेल Oat Protein Bar,Verdant,150ml,500,FB-SN,"shellfish,fish,milk,soy",4017750954657,28/04/21
IN00665,Nuvelo Sensitive Skin Body Wash,Nuvelo,100ml,200,PC-BW,"fish,milk",7540915086322,11/12/18
IN00666,Tresol Liquid Laundry Detergent,Tresol,100ml,400,HH-LN,"peanuts,tree nuts,shellfish",9389701550290,19/02/19
IN00667,Glicen Aloe Hand Wash,Glicen,75ml,250,PC-HW,"fish,gluten",0241613944989,25/09/20
IN00668,Vivara तेल Salted Crackers,Vivara,750ml,400,FB-SN,fish,4248096244069,28/04/20
IN00669,Polvera Deep Clean Body Wash,Polvera,100ml,200,PC-BW,"shellfish,tree nuts",1330531949790,20/09/22
IN00670,Qualis Vinegar Dressing,Qualis,500ml,300,FB-CN,"sesame,milk,tree nuts",5557277382643,09/07/22
IN00671,Helix क्रीम Sensitive Skin Body Wash,Helix,1000ml,400,PC-BW,"tree nuts,eggs,soy,gluten",8544577029924,11/12/21
IN00672,Purelix Heavy Duty Dish Soap,Purelix,50ml,200,HH-DW,"shellfish,soy,fish,peanuts",2691163319429,14/10/19
IN00673,Luxara शैम्पू Rice Cakes,Luxara,300ml,250,FB-SN,fish,9455158886364,20/07/23
IN00674,Orinum Bathroom Cleaner,Orinum,100ml,100,HH-SC,"peanuts,milk,tree nuts",7216966630936,22/07/19
IN00675,Primus Eco Dish Liquid,Primus,75ml,300,HH-DW,,5932971509686,26/09/23
IN00676,Cryston Oil Control स्प्रे Face Wash,Cryston,250ml,150,PC-FW,shellfish,3524103977399,23/12/22
IN00677,Cryston Oil Control Face Wash,Cryston,500ml,75,PC-FW,"tree nuts,wheat,soy,shellfish",1006876164814,28/12/23
IN00678,Orinum Salted पाउडर Crackers,Orinum,400ml,50,FB-SN,"fish,milk",5687611249124,10/02/22
IN00679,Brightway Fragrance-Free Hand Wash,Brightway,150ml,400,PC-HW,peanuts,1517734547576,22/11/20
IN00680,Aevum पाउडर Rinse Aid,Aevum,50ml,100,HH-DW,sesame,4035954429474,07/12/22
IN00681,Brightway Mustard Sauce,Brightway,100ml,100,FB-CN,"peanuts,fish,gluten,tree nuts",3039429045887,21/07/22
IN00682,DUMMY-Nexpur Disinfectant Spray,Nexpur,250ml,100,HH-SC,"sesame,tree nuts,gluten,soy",7287276015348,25/04/20
IN00683,Nuvelo Oil Control क्रीम Face Wash,Nuvelo,750ml,75,PC-FW,tree nuts,7790833506154,10/09/23
IN00684,Luxara Anti-Dandruff स्प्रे Shampoo,Luxara,500ml,500,PC-SH,,0798334233729,14/06/18
IN00685,Luxara Rinse Aid,Luxara,200ml,75,HH-DW,eggs,2840333997718,29/07/18
IN00686,Serafix 24hr Roll-On Deodorant,Serafix,400ml,75,PC-DO,"eggs,shellfish,soy",1893974909610,19/12/22
IN00687,Frosten Mayonnaise,Frosten,1000ml,400,FB-CN,,4694725878448,18/12/20
00688,Qualis Laundry Powder,Qualis,200ml,500,HH-LN,"peanuts,shellfish,eggs,fish",2705877221647,23/01/19
IN00689,Teraxis Bathroom Cleaner,Teraxis,1000ml,500,HH-SC,soy,1334845871495,11/05/20
IN00690,Toreva Dishwasher तेल Tablets,Toreva,100ml,150,HH-DW,"wheat,gluten,sesame",5879643474524,08/06/21
IN00691,Tolvex Sport Deodorant,Tolvex,250ml,400,PC-DO,"fish,gluten",6060652740338,14/11/20
IN00692,Luminos SPF Moisturiser,Luminos,250ml,300,PC-MS,"tree nuts,sesame,soy",3987411325793,09/04/23
IN00693,Nuarix Deep Clean Body Wash,Nuarix,400ml,150,PC-BW,"gluten,fish",0105485741728,31/10/18
IN00694,Brightway Sensitive Deodorant,Brightway,100ml,200,PC-DO,"soy,sesame,eggs,gluten",3598488402159,19/01/22
IN00695,Kaleo Kitchen सीरम Cleaner,Kaleo,250ml,400,HH-SC,shellfish,5534490216665,16/06/23
IN00696,Oralix Sensitive Skin Body Wash,Oralix,500ml,250,PC-BW,,9608587495113,13/01/19
IN00697,Novix Liquid Laundry Detergent,Novix,100ml,500,HH-LN,,9793164772517,15/01/20
IN00698,Qualis Vinegar Dressing,Qualis,400ml,500,FB-CN,"milk,fish,peanuts",0960035624391,30/08/21
IN00699,Gleam Laundry Capsules,Gleam,1000ml,150,HH-LN,"tree nuts,wheat,soy,fish",2342108902854,11/10/18
IN00700,Plexum Sport Deodorant,Plexum,1000ml,150,PC-DO,peanuts,2643350271607,24/12/22
IN00701,Motivo Mixed Nuts Blend,Motivo,50ml,400,FB-SN,"fish,soy,sesame",6911289812311,27/06/23
IN00702,Zenpur Oat Protein Bar,Zenpur,250ml,300,FB-SN,soy,1857481700665,28/06/22
IN00703,Vivara Anti-Dandruff तेल Shampoo,Vivara,200ml,75,PC-SH,"peanuts,soy,eggs",6704502329020,26/10/23
IN00704,Nuarix Leave-In शैम्पू Conditioner,Nuarix,400ml,50,PC-CD,,9345962622824,14/01/20
IN00705,Nexpur 24hr Roll-On Deodorant,Nexpur,50ml,400,PC-DO,peanuts,6549500507021,28/07/22
IN00706,Motivo Sensitive Skin Body Wash,Motivo,750ml,500,PC-BW,wheat,1053161177684,09/12/22
IN00707,Teraxis Smooth & Shine Conditioner,Teraxis,50ml,200,PC-CD,"shellfish,peanuts,wheat",5859177932387,16/06/19
IN00708,Polvera Leave-In Conditioner,Polvera,75ml,75,PC-CD,"peanuts,eggs,soy",3424579889427,05/09/21
IN00709,Polvera Fragrance-Free लोशन Hand Wash,Polvera,100ml,50,PC-HW,"milk,peanuts,soy,wheat",0203265097758,09/02/20
IN00710,Cladis Vinegar Dressing,Cladis,400ml,150,FB-CN,"gluten,peanuts,shellfish",1485524578713,03/11/21
IN00711,Purevex Fabric Softener,Purevex,250ml,300,HH-LN,,8213711842544,28/01/23
IN00712,Helix Aloe Hand Wash,Helix,500ml,100,PC-HW,"eggs,soy,milk",3035892988089,25/01/22
IN00713,Nuarix Laundry Powder,Nuarix,500ml,100,HH-LN,"wheat,eggs",2932896340640,16/05/22
IN00714,Velaris Laundry Capsules,Velaris,400ml,250,HH-LN,,0148439910627,12/08/19
IN00715,Krisol Kitchen स्प्रे Cleaner,Krisol,150ml,300,HH-SC,fish,6933513426194,14/09/19
IN00716,Brightway Exfoliating क्रीम Face Scrub,Brightway,1000ml,200,PC-FW,"milk,eggs",8481973741893,05/02/23
IN00717,Krisol Deep Conditioner,Krisol,250ml,200,PC-CD,,6417692743810,29/12/18
IN00718,Aevum Oat Protein Bar,Aevum,250ml,150,FB-SN,"fish,gluten,milk",1444856451019,12/06/23
IN00719,Solaris Hydrating Face सीरम Wash,Solaris,150ml,300,PC-FW,"eggs,shellfish",8996986091915,24/01/19
IN00720,Vivara सीरम Volumising Shampoo,Vivara,750ml,300,PC-SH,"milk,tree nuts,shellfish",7980660392055,09/02/19
IN00721,Luminos Intensive Moisturiser,Luminos,400ml,200,PC-MS,"tree nuts,gluten",3470574238852,02/07/22
IN00722,Solaris 48hr Spray Deodorant,Solaris,75ml,250,PC-DO,"gluten,sesame",3541165972636,20/12/20
IN00723,Zenpur Rice Cakes,Zenpur,250ml,400,FB-SN,"wheat,gluten",5013948848820,19/06/22
IN00724,Serafix Dish Liquid,Serafix,75ml,75,HH-DW,"fish,peanuts,wheat,tree nuts",5856261499153,09/07/20
IN00725,Cristalix Multi-Surface Spray,Cristalix,500ml,100,HH-SC,"milk,shellfish",3333732043098,03/06/23
IN00726,Luxara पाउडर Glass Cleaner,Luxara,500ml,150,HH-SC,"wheat,sesame,fish",9645465535851,12/11/18
IN00727,Toreva Mixed Nuts Blend,Toreva,150ml,500,FB-SN,"wheat,eggs,shellfish,peanuts",5193583749079,29/11/22
IN00728,Sovara स्प्रे Disinfectant Spray,Sovara,75ml,100,HH-SC,,8780572151493,29/10/20
IN00729,Hevara Salted Crackers,Hevara,750ml,400,FB-SN,"wheat,fish,soy",7484539862897,12/07/21
IN00730,Oralix जेल Sensitive Skin Body Wash,Oralix,250ml,75,PC-BW,,9186233922072,05/05/19
IN00731,Solven 24hr Roll-On Deodorant,Solven,300ml,300,PC-DO,"fish,shellfish,wheat",5214526471243,03/07/22
IN00732,Zenpur Oil Control Face Wash,Zenpur,1000ml,75,PC-FW,,8409080512083,21/02/18
IN00733,Motivo Nourishing Body Cleanser,Motivo,200ml,50,PC-BW,"gluten,tree nuts,eggs,shellfish",3972835129591,26/12/19
IN00734,DUMMY-Primus Kitchen स्प्रे Cleaner,Primus,100ml,400,HH-SC,,9081441529825,13/02/19
IN00735,Aevum Kitchen Cleaner,Aevum,100ml,250,HH-SC,"sesame,fish,shellfish",1815352373608,07/01/22
IN00736,Polvera Deep Clean Body Wash,Polvera,750ml,75,PC-BW,"eggs,tree nuts,fish,shellfish",8345273466668,04/12/18
IN00737,Solaris साबुन Multi-Surface Spray,Solaris,75ml,250,HH-SC,"shellfish,fish,peanuts,soy",4080314998251,16/07/18
IN00738,Oralix Liquid जेल Laundry Detergent,Oralix,200ml,300,HH-LN,tree nuts,8068828503174,31/01/20
IN00739,Purevex Brightening Face Wash,Purevex,150ml,400,PC-FW,gluten,9006314035265,24/07/20
IN00740,Vanta Sensitive Deodorant,Vanta,100ml,100,PC-DO,"soy,peanuts,fish,tree nuts",9434606664372,04/11/20
IN00741,Teraxis Dish Liquid,Teraxis,300ml,50,HH-DW,"peanuts,shellfish,milk,gluten",1127128524641,19/03/21
IN00742,Verdant Lightweight Lotion,Verdant,75ml,75,PC-MS,"soy,eggs,shellfish",3280771130626,09/12/18
IN00743,Cristalix Salted Crackers,Cristalix,300ml,250,FB-SN,"wheat,shellfish,milk",8335090254258,08/03/23
IN00744,Cladis Gentle Face Wash,Cladis,300ml,100,PC-FW,"sesame,eggs",3235707139846,22/10/19
IN00745,Toreva Smooth & स्प्रे Shine Conditioner,Toreva,50ml,75,PC-CD,,6880925502131,25/01/18
IN00746,Clarity Antibacterial Hand Wash,Clarity,50ml,300,PC-HW,"eggs,soy,milk,peanuts",8107964967379,21/10/20
IN00747,Velaris सीरम Sensitive Deodorant,Velaris,100ml,400,PC-DO,"tree nuts,soy,wheat,shellfish",2642506420760,18/07/20
IN00748,Teraxis Moisturising Hand Wash,Teraxis,250ml,150,PC-HW,"fish,gluten,shellfish",7767555628334,07/06/20
IN00749,Clarity Mixed Nuts जेल Blend,Clarity,150ml,250,FB-SN,"sesame,fish,tree nuts",4362718749609,27/03/20
IN00750,Luxara Brightening Face Wash,Luxara,100ml,300,PC-FW,"fish,wheat,shellfish,milk",3692492693265,20/07/21
IN00751,Tolvex Kitchen Cleaner,Tolvex,100ml,400,HH-SC,"gluten,sesame",0111000515538,09/09/19
IN00752,Purevex शैम्पू Brightening Face Wash,Purevex,250ml,250,PC-FW,"shellfish,gluten,tree nuts,sesame",2441822261893,06/08/22
IN00753,Luxara Smooth & Shine Conditioner,Luxara,1000ml,400,PC-CD,"soy,eggs",2710267672091,24/01/22
IN00754,Clarity Disinfectant Spray,Clarity,100ml,400,HH-SC,,7955151229462,05/09/19
IN00755,Teraxis Volumising Shampoo,Teraxis,250ml,200,PC-SH,,5970996254389,21/02/21
IN00756,Solaris Liquid Laundry Detergent,Solaris,250ml,100,HH-LN,,3447650471588,09/05/18
IN00757,Zephyr Smooth & Shine Conditioner,Zephyr,750ml,50,PC-CD,"fish,soy",7660465586650,27/06/19
IN00758,Luxara Sport Deodorant,Luxara,150ml,400,PC-DO,"peanuts,eggs",7158102131252,24/09/18
IN00759,Cristalix Smooth & Shine स्प्रे Conditioner,Cristalix,75ml,75,PC-CD,,0591297519103,23/07/19
IN00760,Kaleo Gentle Face Wash,Kaleo,75ml,75,PC-FW,,6330165837376,02/02/20
IN00761,Glicen Bathroom Cleaner,Glicen,1000ml,50,HH-SC,"wheat,sesame,milk",1234289311321,09/08/21
IN00762,Cladis Oil Control Face Wash,Cladis,1000ml,200,PC-FW,"soy,milk,shellfish",6453804421016,17/07/23
IN00763,Lumeva 24hr Roll-On Deodorant,Lumeva,300ml,75,PC-DO,"milk,eggs,tree nuts",9591945757575,14/05/21
IN00764,Novix Bathroom Cleaner,Novix,150ml,150,HH-SC,"wheat,milk,tree nuts,soy",7756777226602,26/07/19
00765,Teraxis Sensitive Deodorant,Teraxis,100ml,300,PC-DO,"milk,fish",2292310672451,21/03/20
IN00766,Cladis स्प्रे Deep Clean Body Wash,Cladis,100ml,200,PC-BW,"peanuts,soy,sesame,shellfish",9766270511578,31/03/21
IN00767,Alteva Leave-In Conditioner,Alteva,400ml,150,PC-CD,"shellfish,milk,peanuts",2549691928456,10/03/22
IN00768,Vivara Mixed Nuts Blend,Vivara,750ml,400,FB-SN,,0756335357486,27/10/21
IN00769,Nuarix Rinse Aid,Nuarix,150ml,100,HH-DW,"gluten,soy",9933797058163,31/08/19
IN00770,Helix Rinse Aid,Helix,500ml,400,HH-DW,"shellfish,soy,sesame,wheat",7634250733055,29/12/21
IN00771,Luxara Heavy पाउडर Duty Dish Soap,Luxara,100ml,200,HH-DW,"shellfish,tree nuts",9833991403885,02/03/21
IN00772,Sovara Exfoliating Face पाउडर Scrub,Sovara,50ml,200,PC-FW,"soy,wheat",4006157276820,25/12/22
IN00773,Nuvelo 24hr Roll-On Deodorant,Nuvelo,400ml,200,PC-DO,gluten,7429250105878,19/02/22
IN00774,Glicen Repair Conditioner,Glicen,300ml,500,PC-CD,,6562590459902,27/09/23
IN00775,Solaris Refreshing Shower Gel,Solaris,75ml,75,PC-BW,wheat,1823155516511,11/07/23
IN00776,Oralix Aloe Hand Wash,Oralix,500ml,300,PC-HW,"wheat,sesame,eggs",3721433080038,15/05/23
IN00777,TEST-Plexum Moisturising Body Wash,Plexum,150ml,100,PC-BW,sesame,5566084706818,14/06/18
IN00778,Vanta Hydrating Face Wash,Vanta,150ml,150,PC-FW,"shellfish,milk,tree nuts,gluten",1958263280945,24/12/20
IN00779,Primus Fabric Softener,Primus,300ml,100,HH-LN,gluten,4535461470797,28/09/23
IN00780,Kaleo Moisturising Hand Wash,Kaleo,75ml,50,PC-HW,"eggs,soy,sesame",9439457039430,25/09/23
IN00781,Zephyr Nourishing तेल Body Cleanser,Zephyr,150ml,100,PC-BW,"soy,shellfish",6576927789433,15/11/18
IN00782,Zephyr Dish Liquid,Zephyr,50ml,50,HH-DW,,4047692105336,30/09/22
IN00783,Purevex Granola Bar,Purevex,200ml,300,FB-SN,,4014247310729,28/02/18
IN00784,Glicen Hydrating Shampoo,Glicen,150ml,400,PC-SH,"sesame,peanuts,gluten,milk",9712316600768,23/03/23
00785,Zephyr Moisturising Hand Wash,Zephyr,750ml,50,PC-HW,,4473404337007,19/11/22
IN00786,Plexum स्प्रे Laundry Capsules,Plexum,50ml,200,HH-LN,"eggs,tree nuts",7782558825566,14/12/19
IN00787,Vivara Heavy Duty Dish Soap,Vivara,400ml,250,HH-DW,"wheat,shellfish",8656194255775,04/11/19
IN00788,Primus सीरम Nourishing Body Cleanser,Primus,1000ml,100,PC-BW,"tree nuts,sesame,wheat,fish",9236161880811,17/01/18
IN00789,XXX-Polvera Lightweight Lotion,Polvera,100ml,150,PC-MS,"shellfish,eggs",5586863956135,02/02/23
IN00790,Hevara Leave-In Conditioner,Hevara,50ml,500,PC-CD,,7214364381306,08/03/18
IN00791,Glova Nourishing शैम्पू Body Cleanser,Glova,150ml,100,PC-BW,,1471656094566,16/03/22
IN00792,XXX-Sovara Brightening Face Wash,Sovara,750ml,400,PC-FW,"gluten,milk,shellfish,sesame",7550476816993,08/12/21
IN00793,Luminos Hot Chilli Sauce,Luminos,300ml,50,FB-CN,"eggs,shellfish,peanuts",8113176539709,15/08/21
IN00794,Arovia Lightweight Lotion,Arovia,400ml,150,PC-MS,"fish,eggs,milk,tree nuts",2908718274967,19/07/18
IN00795,Glova Lightweight Lotion,Glova,500ml,400,PC-MS,shellfish,4204956121376,15/06/23
IN00796,Motivo क्रीम Gentle Face Wash,Motivo,1000ml,100,PC-FW,gluten,3597371122297,07/04/18
IN00797,Vivara Glass Cleaner,Vivara,300ml,50,HH-SC,"tree nuts,sesame,eggs,soy",7046861114572,02/07/22
00798,Tresol Laundry Powder,Tresol,75ml,50,HH-LN,eggs,9237858471299,20/08/22
IN00799,Vanta शैम्पू Colour Protect Shampoo,Vanta,150ml,150,PC-SH,peanuts,2605080184985,06/02/18
IN00800,Toreva Night Cream,Toreva,150ml,400,PC-MS,soy,7773126881220,20/09/23
IN00801,Velaris Deep Conditioner,Velaris,500ml,75,PC-CD,"wheat,soy,fish,shellfish",5346060560357,20/05/22
IN00802,Plexum जेल Disinfectant Spray,Plexum,100ml,400,HH-SC,"sesame,fish,wheat,eggs",9847169061814,20/08/19
IN00803,Vivara Tomato Ketchup,Vivara,200ml,300,FB-CN,"shellfish,tree nuts",4895478769896,17/07/19
IN00804,Helix Bathroom Cleaner,Helix,400ml,250,HH-SC,"sesame,eggs,peanuts,tree nuts",4449835539358,08/06/21
IN00805,Alteva Brightening Face Wash,Alteva,1000ml,300,PC-FW,"peanuts,fish",3924358853798,01/11/23
IN00806,Glicen Deep Conditioner,Glicen,200ml,150,PC-CD,"sesame,fish,gluten,wheat",5275367497854,23/08/19
IN00807,Purevex Lightweight Lotion,Purevex,200ml,75,PC-MS,"sesame,fish,milk",1347789489633,24/12/20
IN00808,Teraxis Deep फोम Clean Body Wash,Teraxis,400ml,75,PC-BW,"fish,gluten,tree nuts",1221500141881,04/01/21
IN00809,TEST-Tolvex Deep Conditioner,Tolvex,1000ml,300,PC-CD,milk,9001594463333,28/12/20
IN00810,Cristalix Fabric Softener,Cristalix,100ml,50,HH-LN,"gluten,tree nuts,soy,eggs",6389021994715,27/01/19
IN00811,Plexum Exfoliating Face साबुन Scrub,Plexum,150ml,400,PC-FW,"wheat,gluten,soy,sesame",1034699673312,02/12/18
IN00812,Orinum Foaming Hand Wash,Orinum,100ml,300,PC-HW,"fish,milk,peanuts,eggs",7685507896795,21/04/20
IN00813,Hevara 48hr Spray Deodorant,Hevara,75ml,300,PC-DO,fish,3355643436974,10/04/18
IN00814,Cristalix Vinegar सीरम Dressing,Cristalix,1000ml,75,FB-CN,"milk,fish,tree nuts",5607676164538,07/01/21
IN00815,Velaris Sport क्रीम Deodorant,Velaris,100ml,100,PC-DO,gluten,8983065031214,25/07/18
IN00816,Alteva फोम Daily Moisturiser,Alteva,200ml,400,PC-MS,peanuts,2642364281312,02/08/18
IN00817,Elaris Dishwasher Tablets,Elaris,500ml,400,HH-DW,"wheat,soy,milk",3911142817852,03/01/20
IN00818,Kaleo Smooth & साबुन Shine Conditioner,Kaleo,150ml,50,PC-CD,"wheat,peanuts",8088062207225,17/09/20
IN00819,TEST-Clarity Rinse Aid,Clarity,200ml,400,HH-DW,shellfish,2132901620471,07/12/23
IN00820,Luxara Glass Cleaner,Luxara,500ml,300,HH-SC,"shellfish,sesame,tree nuts,fish",9964862872032,28/10/18
IN00821,Frostine Rinse Aid,Frostine,75ml,300,HH-DW,"fish,peanuts,tree nuts",0573036279240,12/06/22
IN00822,Luminos Oil Control Face Wash,Luminos,150ml,400,PC-FW,"shellfish,fish",7753726032147,13/03/22
IN00823,Cryston Nourishing Body Cleanser,Cryston,300ml,300,PC-BW,,9458870715530,25/06/21
IN00824,Zephyr Laundry Powder,Zephyr,75ml,100,HH-LN,"peanuts,milk,sesame,gluten",3850765975955,13/03/21
IN00825,Alteva 24hr Roll-On Deodorant,Alteva,750ml,75,PC-DO,"shellfish,fish,milk",8981265742237,17/01/19
IN00826,Nuvelo तेल Heavy Duty Dish Soap,Nuvelo,300ml,150,HH-DW,,0402369362681,11/11/20
IN00827,Purevex Gentle क्रीम Face Wash,Purevex,100ml,50,PC-FW,"shellfish,eggs",3727117595744,16/09/21
IN00828,Alteva Mustard Sauce,Alteva,100ml,500,FB-CN,"gluten,soy",3067458476099,15/05/21
IN00829,Brightway Daily Moisturiser,Brightway,500ml,150,PC-MS,soy,7218856669545,29/11/18
IN00830,Lumeva Oil Control Face Wash,Lumeva,400ml,75,PC-FW,"milk,fish",6626705514372,08/07/23
IN00831,Aurova Aloe Hand Wash,Aurova,300ml,300,PC-HW,peanuts,3925295961119,04/12/18
IN00832,Brightway Salted Crackers,Brightway,500ml,300,FB-SN,"eggs,wheat,milk",0720245591025,22/06/21
IN00833,Vanta 24hr सीरम Roll-On Deodorant,Vanta,750ml,75,PC-DO,,9032671494988,21/10/18
IN00834,Tresol लोशन Rinse Aid,Tresol,75ml,400,HH-DW,"peanuts,wheat,eggs,soy",9340652775842,17/04/21
IN00835,Purelix Hot Chilli Sauce,Purelix,150ml,200,FB-CN,"soy,gluten",7220109121724,04/09/19
IN00836,Elaris Salted Crackers,Elaris,250ml,250,FB-SN,"soy,shellfish,fish,gluten",1894370526357,28/09/18
IN00837,Verdant Moisturising Body Wash,Verdant,300ml,100,PC-BW,"soy,fish,shellfish,peanuts",7256592024617,18/06/23
IN00838,Vanta 48hr Spray Deodorant,Vanta,100ml,150,PC-DO,"gluten,shellfish,peanuts,eggs",2600559550179,15/08/23
IN00839,Brightway Oil Control Face Wash,Brightway,250ml,500,PC-FW,"sesame,fish",8999360798486,13/02/23
IN00840,XXX-Qualis Nourishing Body Cleanser,Qualis,50ml,300,PC-BW,"eggs,shellfish,fish,soy",9935937440395,06/11/20
IN00841,Zephyr Fragrance-Free Hand Wash,Zephyr,500ml,150,PC-HW,,3736060148860,08/03/18
IN00842,Arovia Fabric साबुन Softener,Arovia,750ml,50,HH-LN,"gluten,soy,peanuts",1368528306158,02/10/20
IN00843,Solven Multi-Surface साबुन Spray,Solven,100ml,200,HH-SC,peanuts,4626325144883,08/10/18
IN00844,Glova Volumising सीरम Shampoo,Glova,50ml,150,PC-SH,"milk,eggs,shellfish,tree nuts",4217518878175,13/02/21
IN00845,Helix Anti-Dandruff Shampoo,Helix,250ml,100,PC-SH,"soy,sesame,peanuts",0911225288374,10/12/21
IN00846,DUMMY-Motivo Nourishing Body Cleanser,Motivo,300ml,75,PC-BW,"fish,soy,wheat,eggs",9791378765530,21/06/18
IN00847,Serafix क्रीम Deep Clean Body Wash,Serafix,50ml,250,PC-BW,,5560571219881,23/04/19
IN00848,Velaris Dishwasher Tablets,Velaris,400ml,500,HH-DW,"tree nuts,eggs,milk,fish",5348640104241,04/04/22
IN00849,Qualis Repair Conditioner,Qualis,300ml,75,PC-CD,"tree nuts,eggs,shellfish,wheat",4600452128992,15/02/19
IN00850,Solven शैम्पू 24hr Roll-On Deodorant,Solven,200ml,250,PC-DO,"eggs,wheat",9391304488184,02/05/21
IN00851,Solven Fabric Softener,Solven,300ml,50,HH-LN,"fish,eggs",5402119017071,19/01/22
IN00852,Solven सीरम Aloe Hand Wash,Solven,200ml,100,PC-HW,"sesame,soy,eggs,wheat",2291073228363,22/01/18
IN00853,Nuvelo Vinegar पाउडर Dressing,Nuvelo,750ml,150,FB-CN,"sesame,soy,milk",6396384526965,24/03/21
IN00854,Lumeva Night Cream,Lumeva,75ml,300,PC-MS,"gluten,shellfish",0169342929131,27/06/19
IN00855,Plexum Salted Crackers,Plexum,150ml,50,FB-SN,,6234190310616,30/10/21
IN00856,XXX-Brightway Exfoliating स्प्रे Face Scrub,Brightway,100ml,75,PC-FW,"tree nuts,fish",6847323653377,26/06/23
IN00857,TEST-Oralix Intensive Moisturiser,Oralix,200ml,50,PC-MS,"shellfish,wheat,milk",0784361424421,12/10/22
IN00858,Krisol Deep Clean Body Wash,Krisol,500ml,75,PC-BW,"shellfish,tree nuts,peanuts,sesame",3734764273727,12/03/18
IN00859,Motivo क्रीम Exfoliating Face Scrub,Motivo,150ml,500,PC-FW,"wheat,eggs,peanuts,tree nuts",5841484601919,15/09/20
IN00860,Cristalix SPF Moisturiser,Cristalix,1000ml,500,PC-MS,"gluten,sesame,wheat,tree nuts",7802058695077,03/03/20
IN00861,Glicen Deep Conditioner,Glicen,200ml,300,PC-CD,"peanuts,soy",6999516793350,07/07/18
IN00862,Velaris शैम्पू Sport Deodorant,Velaris,150ml,500,PC-DO,"shellfish,soy",6801192360378,17/08/22
IN00863,Solven Liquid स्प्रे Laundry Detergent,Solven,1000ml,500,HH-LN,"wheat,soy,sesame",3510409614977,06/05/20
IN00864,Cristalix Anti-Dandruff क्रीम Shampoo,Cristalix,750ml,75,PC-SH,,4983074820735,14/08/22
IN00865,Helix 24hr Roll-On लोशन Deodorant,Helix,500ml,150,PC-DO,"peanuts,milk,fish,tree nuts",5578201904328,05/10/19
IN00866,Glicen Gentle Face Wash,Glicen,100ml,150,PC-FW,soy,2470739201357,12/05/21
IN00867,Brightway Hot Chilli Sauce,Brightway,75ml,100,FB-CN,"fish,milk,wheat",5082611231269,21/03/19
IN00868,Nuarix Moisturising Hand Wash,Nuarix,100ml,200,PC-HW,"sesame,gluten,tree nuts,soy",2989376297451,01/12/20
IN00869,Glicen Dishwasher Tablets,Glicen,50ml,150,HH-DW,"peanuts,fish,shellfish",1912038187693,08/07/19
IN00870,Kaleo Sensitive Skin Body Wash,Kaleo,500ml,150,PC-BW,soy,0898138815883,19/01/19
IN00871,TEST-Qualis SPF Moisturiser,Qualis,500ml,100,PC-MS,milk,6732318297165,25/11/18
